Equipo,Partido 0,Partido 1,Partido 2,Partido 3,Partido 4,Partido 5,Partido 6,Partido 7,Partido 8,Partido 9,Partido 10,Partido 11,Partido 12,Partido 13,Partido 14,Partido 15,Partido 16,Partido 17,Partido 18,Partido 19,Partido 20,Partido 21,Partido 22,Partido 23,Partido 24,Partido 25,Partido 26,Partido 27,Partido 28,Partido 29,Partido 30,Partido 31,Partido 32,Partido 33,Partido 34,Partido 35,Partido 36,Partido 37,Partido 38,Partido 39,Partido 40,Partido 41,Partido 42,Partido 43,Partido 44
F/A Sociedad Loliense,362,364,328,332,335,338,341,344,347,350,352,354,356,328,298,303,308,313,317,321,325,329,333,336,308,313,300,305,310,314,318,322,326,294,285,269,276,282,288,294,299,304,309,314,318
QPC Originals,438,436,434,432,393,393,393,429,428,389,390,390,390,390,390,390,435,433,466,463,500,516,510,539,532,525,536,529,523,545,538,531,557,549,556,548,541,566,578,569,586,577,519,540,568
G2 Fecas,0,438,436,434,470,466,421,420,386,387,388,428,427,426,425,452,449,491,486,482,438,436,434,432,430,385,386,353,355,357,320,324,328,332,335,338,341,344,347,350,352,354,356,358,360
Mataespartacos,0,362,402,402,402,440,438,436,434,470,431,429,428,457,454,451,404,404,404,447,445,443,474,436,434,432,430,462,459,456,453,412,411,410,410,410,410,410,410,442,440,469,515,509,469
Viva el Staff,0,0,0,362,364,366,368,334,337,340,343,346,328,332,335,310,314,318,322,326,330,313,317,321,325,329,333,336,339,342,345,348,351,389,390,390,360,362,364,333,336,339,342,345,348
QLASH Crew,0,0,0,438,436,434,474,470,499,494,525,519,534,527,521,515,509,459,456,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
AntiToxic,0,0,0,0,0,362,364,366,368,370,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
MataespartacosXAida,0,0,0,0,0,0,0,0,0,0,0,361,363,365,401,401,401,401,366,368,370,372,373,374,375,420,419,418,450,448,446,482,445,443,441,461,488,451,448,446,419,418,417,389,390
Esparta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,369,371,372,373,374,342,345,387,388,389,390,390,390,390,390,370,372,373,344,347,350,352
Iron Qlash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,429,428,427,426,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
