LandProvince;SeaZone;x;y;
2;5285;4407;1268;
3;5627;9164;1623;
4;5274;14424;1684;
5;5376;14257;1725;
7;5314;14472;1794;
8;5433;9465;1533;
9;4959;9788;1874;
10;4970;4491;2002;
13;5496;9824;1779;
17;5274;14501;1667;
20;5314;14395;1816;
22;5402;2618;1160;
24;5152;4726;1367;
26;5041;7997;1700;
40;4949;10656;2597;
46;4965;4691;3008;
48;5082;10390;4348;
53;5150;9668;585;
55;5485;13194;2394;
58;5143;5940;3480;
66;5163;4997;4300;
69;5628;14576;1513;
70;4934;14650;1584;
71;5274;14487;1642;
72;4934;14610;1667;
73;4934;14591;1711;
76;5117;12469;2485;
78;5281;4573;3715;
79;5218;13385;4573;
80;5163;4899;4135;
83;5513;12618;3225;
86;4987;8156;1302;
89;4972;6501;3860;
92;5145;13996;3303;
95;5248;10264;2882;
96;5482;8101;1161;
97;5420;8436;1399;
101;5180;7997;1181;
102;5477;11447;2239;
103;4971;7663;3051;
109;5353;8653;1370;
113;5003;7774;3139;
119;5062;13047;2416;
120;5047;3966;2529;
122;5623;14809;5110;
124;5290;5103;1127;
125;5623;14808;5314;
130;5262;3257;2222;
131;5591;5410;2962;
134;5466;10163;3912;
136;5490;13624;1681;
141;5451;13342;3512;
144;5298;13467;2333;
145;5518;10816;2288;
152;5638;4199;2477;
153;5147;3878;2016;
154;5380;10493;2687;
162;5445;8962;1952;
163;5303;7053;2602;
164;5000;11672;2937;
167;5073;14911;4272;
171;5538;8240;3097;
172;5225;8686;1837;
176;5304;15025;5021;
177;5320;8779;3705;
178;5163;4989;4206;
181;4894;6006;4509;
182;4946;4036;3417;
183;5082;10443;4165;
184;5230;11501;2479;
187;5567;12835;3264;
189;5322;8210;1120;
190;5047;4073;2445;
191;5036;5367;5142;
193;5172;13722;2054;
196;5428;4536;3399;
197;5474;4780;5473;
199;5263;3646;2604;
200;5025;4721;3977;
202;5419;13729;4911;
203;5482;8121;1140;
208;5615;13227;2492;
