LandProvince;SeaZone;x;y;
2;14719;4407;4877;
3;15061;9164;4523;
4;14708;14424;4459;
5;14517;14397;4426;
6;14810;14257;4420;
7;14517;14386;4401;
11;15009;14227;4377;
12;14867;9465;4609;
13;14393;9790;4268;
17;14930;9828;4365;
24;14748;14395;4329;
31;14475;7997;4445;
48;14383;10656;3550;
52;14590;1029;2855;
58;14516;10388;1796;
64;14748;14405;4332;
65;14584;9668;5560;
66;14891;14237;4335;
68;14919;13195;3750;
80;14597;4999;1844;
81;14708;14501;4476;
84;15062;14576;4630;
85;14368;14649;4560;
86;14708;14487;4503;
88;14368;14590;4433;
89;14748;14564;4396;
90;14748;14553;4395;
91;14748;14528;4379;
92;14748;14581;4381;
94;14588;14350;4310;
96;14551;12469;3660;
99;14708;14436;4445;
100;14652;13385;1567;
101;14368;14609;4475;
103;15062;14558;4553;
104;14708;14542;4523;
107;14947;12619;2920;
111;14421;8156;4843;
118;14579;13997;2840;
120;14771;5173;272;
122;14682;10264;3263;
124;14916;8101;4982;
125;14854;8437;4745;
129;14614;7997;4962;
131;14405;7663;3094;
138;14787;8653;4776;
143;14437;7774;3006;
147;14413;10016;3487;
151;14583;14158;4322;
152;14481;3966;3613;
156;14724;5103;5018;
157;15057;14809;830;
163;14696;3257;3925;
167;14900;10163;2235;
170;14924;13624;4462;
177;14885;13342;2635;
189;15072;4197;3667;
191;14814;10493;3461;
199;14879;8962;4192;
200;14737;7053;3541;
208;14972;8233;3049;
209;14659;8686;4309;
224;14664;11500;3666;
227;15001;12835;2883;
228;14457;6588;2506;
230;14756;8210;5023;
240;14908;4780;668;
244;14459;4721;2169;
246;14853;13729;1234;
247;14916;8122;5004;
248;14748;14470;4352;
253;15049;13224;3652;
257;14814;10543;3478;
269;14659;8697;4288;
272;15005;9000;5463;
273;14955;9201;5421;
276;15038;2467;5016;
279;14967;13902;4533;
282;14952;10769;3886;
294;14589;4208;3749;
310;14810;14258;4387;
311;14346;3028;4107;
313;14806;7987;5238;
324;14881;5853;5674;
330;15074;14986;2339;
335;14492;4537;3130;
336;14505;5138;710;
339;14328;5978;1588;
340;14652;13426;1411;
341;15057;14916;910;
342;14974;11597;3354;
344;14640;13556;1180;
345;14692;12914;2548;
347;14480;5516;414;
354;14456;14076;4055;
355;14469;4440;3152;
357;14537;7772;4737;
361;14587;12649;3436;
362;14336;9931;4884;
363;14891;14350;4338;
368;14524;4471;3805;
369;14862;4551;2800;
372;14397;2540;4678;
375;14431;10174;1726;
