LandProvince;SeaZone;x;y;
2;9598;4407;4877;
3;9940;9164;4523;
4;9587;14424;4459;
5;9396;14397;4426;
6;9689;14257;4420;
7;9396;14386;4401;
11;9746;9465;4609;
12;9272;9790;4268;
16;9809;9828;4365;
23;9627;14395;4329;
30;9354;7997;4445;
47;9262;10656;3550;
51;9469;1029;2855;
56;9395;10388;1796;
62;9463;9668;5560;
64;9798;13195;3750;
75;9476;4999;1844;
76;9587;14501;4476;
79;9941;14576;4630;
80;9247;14649;4560;
81;9587;14487;4503;
83;9247;14590;4433;
84;9627;14528;4379;
87;9430;12469;3660;
90;9587;14436;4445;
91;9531;13385;1567;
93;9587;14542;4523;
96;9826;12619;2920;
99;9300;8156;4843;
105;9458;13997;2840;
107;9650;5173;272;
109;9561;10264;3263;
110;9795;8101;4982;
111;9733;8437;4745;
115;9493;7997;4962;
117;9284;7663;3094;
124;9666;8653;4776;
129;9316;7774;3006;
133;9292;10016;3487;
137;9360;3966;3613;
141;9603;5103;5018;
142;9936;14809;830;
147;9575;3257;3925;
151;9779;10163;2235;
153;9803;13624;4462;
159;9764;13342;2635;
171;9951;4197;3667;
173;9693;10493;3461;
181;9758;8962;4192;
182;9616;7053;3541;
190;9851;8233;3049;
191;9538;8686;4309;
203;9259;4036;2729;
205;9543;11500;3666;
208;9880;12835;2883;
210;9635;8210;5023;
218;9787;4780;668;
221;9338;4721;2169;
223;9732;13729;1234;
224;9795;8122;5004;
225;9627;14470;4352;
230;9928;13224;3652;
234;9693;10543;3478;
245;9538;8697;4288;
248;9884;9000;5463;
249;9834;9201;5421;
252;9917;2467;5016;
255;9846;13902;4533;
258;9831;10769;3886;
283;9225;3028;4107;
285;9685;7987;5238;
296;9760;5853;5674;
302;9953;14986;2339;
307;9371;4537;3130;
310;9207;5978;1588;
311;9936;14916;910;
312;9853;11597;3354;
314;9519;13556;1180;
315;9571;12914;2548;
317;9359;5516;414;
323;9335;14076;4055;
324;9348;4440;3152;
325;9416;7772;4737;
329;9466;12649;3436;
